"code","동","구","집세","청년남자비율","청년여자비율","범죄안전","교통안전","편의시설","쇼핑시설","외식시설","대중교통","체육시설"
1115069,"신정6동","양천구",51.2154949173267,27.1896482585335,35.11362131298,47.873666100226,45.8775125771217,49.0360678827297,38.2434857991689,34.8202586953738,68.1603647015657,37.5536409216741
1115070,"신정7동","양천구",51.2154949173267,32.7704284696137,32.0731104157557,46.2168414409982,44.0817254650103,58.0769649011943,41.1405739261503,39.4712247550619,68.1603647015657,40.457220701157
1113075,"신촌동","서대문구",30.6437907703842,89.8256197800576,121.149517187046,45.5657944132313,50.2085285533903,55.9434198820878,78.8027195769095,130.45574829771,30.4152929688998,141.79215500511
1110051,"쌍문1동","도봉구",39.4717668598276,38.2758575228582,35.3649541734752,45.0304956560229,47.0394924731937,71.7849916489553,49.6708889667069,42.378078542367,30.4152929688998,43.9415164365365
1110052,"쌍문2동","도봉구",39.5687091226714,45.8501895823947,42.4073920420283,45.2301553851599,47.4620306172199,69.3847535024602,47.0956995205011,44.9942469509415,30.4152929688998,43.9415164365365
1110053,"쌍문3동","도봉구",38.3475494010354,49.563655267182,47.9123682651535,45.6576974628857,49.4690868013444,69.1180603750716,52.7289264340762,42.5234212317322,30.4152929688998,39.2957887893639
1110054,"쌍문4동","도봉구",39.4717668598276,38.1018514169264,37.745558029529,45.8951905447598,47.2507615452068,56.2101130094758,41.6234219473139,36.5643709677568,30.4152929688998,37.5536409216741
1114078,"아현동","마포구",41.0602737663574,57.8975986691312,63.7742409025363,48.6585007059948,46.511319793161,67.5179016107418,51.2803823705855,51.3893252830127,68.1603647015657,45.393306326278
1108060,"안암동","성북구",30.5390575237111,92.9435235728515,76.0071295766747,46.9884962479227,50.8423357694296,56.3434595731701,55.7869639014456,66.6503076663643,49.2878288352327,71.525524341624
1125072,"암사1동","강동구",68.033559533537,51.97138622861,45.2373373682145,45.1000600679738,42.9197455689382,66.1844359737999,59.9716467515299,56.1129626873834,39.8515609020663,51.7811818411403
1125058,"암사2동","강동구",66.5672940918448,49.6670578373125,55.3883824060758,50.9192168118034,52.2155847375148,69.2514069387659,39.6920298626596,38.7445113082356,39.8515609020663,40.1668627232088
1125059,"암사3동","강동구",69.4998249752293,36.0444330608652,40.8960530639143,50.3106108175319,49.2578177293313,57.010192391641,41.9453206280896,35.1109440741043,39.8515609020663,36.6825669878293
1123077,"압구정동","강남구",65.394281738491,29.4264440818716,47.2397198446345,50.9608492746245,47.5676651532265,54.3432611177574,63.351582899675,87.2889695562302,77.5966326347321,87.7855711067282
1102071,"약수동","중구",60.1157261483988,43.8401524438701,45.8253273752772,48.8654140250703,48.9409141213117,65.517703155329,47.4175982012769,43.1047919891932,68.1603647015657,44.8125903703814
1122066,"양재1동","서초구",67.3673340590367,45.7528658280875,54.653514814957,45.0850820778424,43.6591873209841,70.5848725757078,50.4756356686462,70.2112035558129,30.4152929688998,76.7519679446932
1122067,"양재2동","서초구",66.5276270075735,68.484596366929,65.6390194195207,47.2785111626523,52.7437574175475,55.6767267546992,52.7289264340762,74.4988128920879,30.4152929688998,77.6230418785381
1119061,"양평1동","영등포구",64.6688662072669,68.1756450719549,67.3648513898552,50.8804046269501,50.9479703054362,13.5125433146027,52.2460784129127,54.3688504150004,39.8515609020663,50.6197499293472
1119062,"양평2동","영등포구",64.6688662072669,65.0264601542502,67.0508502273303,49.5356322848427,47.7789342252396,9.51214640377751,50.4756356686462,58.4384457172274,39.8515609020663,58.7497733118993
1119054,"여의동","영등포구",62.168497766768,34.5290590485155,48.2334789416823,47.7851326041052,51.7930465934886,-2.06233532487646,68.0191137709229,132.635888638189,68.1603647015657,124.661034306161
1123064,"역삼1동","강남구",65.3107046083145,95.262206749565,119.941645754445,46.1317373831533,51.0536048414427,-2.06233532487646,110.187840952542,181.689046298962,58.7240967683992,193.185517101957
1123065,"역삼2동","강남구",70.7054210018068,34.0505993803179,57.5486780291154,48.4021854612243,45.3493398970889,7.51194794836496,48.7051929243797,60.9819427811194,58.7240967683992,62.8147850031753
1112074,"역촌동","은평구",50.2385469161119,46.2497865061772,49.8189875784172,44.4141303976066,41.6521311368596,14.0459295693793,52.7289264340762,58.2931030278622,39.8515609020663,50.6197499293472
1114071,"연남동","마포구",42.5634009159766,69.3370488289816,83.1340691538162,49.8594715331996,48.9409141213117,-1.79564219748812,43.5548140319682,64.179481947155,30.4152929688998,57.8786993780544
1113076,"연희동","서대문구",35.1989103579793,62.8190527812058,60.1787359842048,44.1902276714238,43.1310146409513,-3.92918721659485,47.9004462224404,57.0576901682575,30.4152929688998,54.9751195985715
1114061,"염리동","마포구",38.2936515068451,50.3011036246737,48.7382639400711,56.0043978546985,55.2789862817048,12.4457708050493,39.209181841496,38.8898539976009,39.8515609020663,39.2957887893639
1116051,"염창동","강서구",47.2492468975491,42.7931988356695,48.8490557585738,46.3354224814743,43.447918248971,-0.995562815323098,44.3595607339075,45.284932329672,39.8515609020663,51.2004658852438
1119074,"영등포동","영등포구",32.7411878578254,82.5529423668075,69.3647652129499,46.6933367226986,48.4127414412789,69.5447693788929,126.282774991328,114.831409190946,49.2878288352327,108.400987541057
1119073,"영등포본동","영등포구",46.4742906558466,50.5993677857429,46.8741974320438,49.302098525731,45.4549744330955,68.3179809929064,54.8212678591184,49.4998703212644,68.1603647015657,49.7486759955023
1124060,"오금동","송파구",65.6875348268294,48.2965556528895,46.265757095112,46.6879479698499,43.7648218569906,60.7438961750779,44.1986113935197,47.3197299807856,39.8515609020663,49.7486759955023
1117067,"오류1동","구로구",36.6840258413297,61.3688441087595,60.699280516116,48.013137496058,47.8845687612462,56.2101130094758,45.003358095459,43.4681487126064,49.2878288352327,45.1029483483297
1117068,"오류2동","구로구",36.6840258413297,41.9632258132362,45.1520566354041,45.6990393463492,42.2859383528989,43.9688984623512,52.4070277533005,48.9184995638034,49.2878288352327,49.1679600396057
1124059,"오륜동","송파구",13.7817381909231,20.853683798777,30.0678013049283,53.9601674957847,49.9972594813772,44.1022450260453,38.4044351395567,34.3842306272781,58.7240967683992,37.2632829437259
1104073,"옥수동","성동구",60.7022323250757,50.2004518829034,61.7629400212048,45.1380125457529,44.1873600010168,45.0356709719045,41.9453206280896,42.378078542367,30.4152929688998,42.1993685688468
1104052,"왕십리2동","성동구",43.8401797456146,49.5112007190818,50.6540436568495,46.5402391356926,52.1099502015082,42.1020465706328,43.0719660108047,37.3637557592657,39.8515609020663,39.0054308114156
1104071,"왕십리도선동","성동구",62.58743074173,54.6874986117309,60.2844730702078,44.965112431756,45.0324362890693,42.1020465706328,46.4519021589497,54.5868644490482,39.8515609020663,52.3618977970369
1114059,"용강동","마포구",71.2919271784837,41.9451035043237,54.7938337063556,49.5696198165172,48.624010513292,55.8100733183935,44.1986113935197,51.0259685595995,68.1603647015657,48.8776020616574
1104070,"용답동","성동구",36.6430002269363,54.0296750609041,41.3776704200999,46.3124142847765,51.2648739134558,42.2353931343269,49.1880409455433,48.0464434276118,58.7240967683992,44.5222323924331
1103059,"용문동","용산구",59.2735634248992,43.4912391589118,49.3179246116726,51.1306993083805,53.800102777613,43.7022053349628,43.876712712744,37.8724551720441,30.4152929688998,37.8439988996224
1103052,"용산2가동","용산구",63.8302652771276,55.3199731679871,49.7105006657168,50.7910077017771,53.1662955615737,55.5433801910049,42.7500673300289,41.8693791295886,39.8515609020663,43.3608004806399
1106081,"용신동","동대문구",37.8521408769058,61.3089656374009,51.1281653750396,45.3481253974896,44.7155326810496,55.6767267546992,56.7526599437727,61.9993416066761,58.7240967683992,59.6208472457442
1109074,"우이동","강북구",36.8311119570763,36.9006492599405,33.2785498330547,47.2027307991442,46.8282234011806,67.6512481744361,46.7738008397254,50.5899404915038,39.8515609020663,47.425812171916
1116074,"우장산동","강서구",67.4549791080787,36.654050421408,45.8745346555972,45.7914232427646,42.8141110329317,61.3039517425935,43.5548140319682,43.9768481253848,58.7240967683992,46.2643802601228
1103072,"원효로1동","용산구",67.2100405804057,62.5617589845856,72.8229797784981,48.7397756873516,52.8493919535541,43.7022053349628,43.7157633723561,47.5377440148335,30.4152929688998,49.7486759955023
1103057,"원효로2동","용산구",57.3420406976394,38.0013275957603,44.189271066046,50.0821471064287,51.4761429854689,59.6771236655247,41.3015232665382,36.5643709677568,30.4152929688998,41.6186526129502
1111051,"월계1동","노원구",37.6438506011694,60.8039452192681,41.8270897648544,47.0360874756004,46.6169543291675,31.7276839152263,51.2803823705855,55.604263274605,58.7240967683992,53.5233297088301
1111052,"월계2동","노원구",39.6900110398042,37.458670459416,34.5294144858779,46.6625682221919,45.3493398970889,35.7280808260514,46.7738008397254,39.9799241678403,58.7240967683992,39.0054308114156
1111053,"월계3동","노원구",39.6900110398042,45.5608189330933,47.5422870017496,46.0150534976719,44.2929945370234,48.9027213190355,45.3252567762347,37.5817697933136,58.7240967683992,38.424714855519
1108071,"월곡1동","성북구",38.0507961963261,33.6849895104818,39.5804719126712,46.0015567551196,45.1380708250758,44.5022847171279,48.0613955628283,43.2501346785585,49.2878288352327,39.0054308114156
1108072,"월곡2동","성북구",38.0507961963261,46.5342055962379,51.4919371781687,46.8967889247488,48.5183759772855,32.5277632973913,47.256648860889,45.284932329672,68.1603647015657,46.2643802601228
