"","행정동","자치구","전체세대수","X1인세대","code","X1인세대밀도"
"67","대림1동","영등포구",6401,2899,1119070,0.452897984689892
"68","대림2동","영등포구",6508,3167,1119071,0.486631837738168
"69","대림3동","영등포구",10633,3874,1119072,0.364337440045142
"70","대방동","동작구",16775,6368,1120068,0.379612518628912
"71","대조동","은평구",15725,7258,1112058,0.461558028616852
"72","대치1동","강남구",7413,566,1123060,0.0763523539727506
"73","대치2동","강남구",13566,2450,1123079,0.180598555211558
"74","대치4동","강남구",10111,5144,1123063,0.50875284343784
"75","대학동","관악구",15557,11348,1121073,0.729446551391656
"76","대흥동","마포구",7183,4664,1114060,0.649310872894334
"77","도곡1동","강남구",8536,2478,1123066,0.290299906279288
"78","도곡2동","강남구",11961,2284,1123067,0.19095393361759
"79","도림동","영등포구",9300,4311,1119075,0.463548387096774
"80","도봉1동","도봉구",10287,3917,1110064,0.380771847963449
"81","도봉2동","도봉구",12028,3793,1110065,0.315347522447622
"82","도화동","마포구",9613,3524,1114075,0.366586913554562
"83","독산1동","금천구",17338,8068,1118052,0.465336255623486
"84","독산2동","금천구",9388,3888,1118053,0.414145717937793
"85","독산3동","금천구",12177,5392,1118054,0.442802003777614
"86","독산4동","금천구",7674,3215,1118055,0.41894709408392
"87","돈암1동","성북구",6379,1751,1108058,0.274494434864399
"88","돈암2동","성북구",8502,1502,1108059,0.176664314278993
"89","동선동","성북구",8870,5441,1108083,0.613416009019166
"90","동화동","중구",4199,1175,1102073,0.279828530602524
"91","둔촌1동","강동구",201,140,1125070,0.696517412935323
"92","둔촌2동","강동구",11144,3327,1125071,0.298546302943288
"93","등촌1동","강서구",11586,5893,1116052,0.508631106507854
"94","등촌2동","강서구",8538,2339,1116053,0.273951745139377
"95","등촌3동","강서구",14728,5153,1116054,0.349877783813145
"96","마장동","성동구",10563,4382,1104054,0.414844267726972
"97","마천1동","송파구",9297,3549,1124055,0.381736043885124
"98","마천2동","송파구",8577,2975,1124056,0.346857875714119
"99","망우3동","중랑구",8462,3544,1107068,0.418813519262586
"100","망우본동","중랑구",14661,6336,1107073,0.432166973603438
"101","망원1동","마포구",10274,4769,1114069,0.464181428849523
"102","망원2동","마포구",8176,2799,1114070,0.342343444227006
"103","면목2동","중랑구",12183,5221,1107052,0.428547976688829
"104","면목3.8동","중랑구",12599,5408,1107072,0.429240415906024
"105","면목4동","중랑구",9493,3945,1107054,0.415569366901928
"106","면목5동","중랑구",4643,1896,1107055,0.40835666594874
"107","면목7동","중랑구",10103,4147,1107057,0.410472136989013
"108","면목본동","중랑구",17409,7971,1107071,0.457866620713424
