"","동","gu","code","cctv"
"272","압구정동","강남구",1123077,2.103431263
"273","약수동","중구",1102071,0.153731482
"274","양재1동","서초구",1122066,0.491841786
"275","양재2동","서초구",1122067,0.491841786
"276","양평1동","영등포구",1119061,0.32394311
"277","양평2동","영등포구",1119062,0.32394311
"278","여의동","영등포구",1119054,0.32394311
"279","역삼1동","강남구",1123064,2.103431263
"280","역삼2동","강남구",1123065,2.103431263
"281","역촌동","은평구",1112074,0.480012358
"282","연남동","마포구",1114071,0.314850839
"283","연희동","서대문구",1113076,0.335271061
"284","염리동","마포구",1114061,0.314850839
"285","염창동","강서구",1116051,0.29581589
"286","영등포동","영등포구",1119074,0.32394311
"287","영등포본동","영등포구",1119073,0.32394311
"288","오금동","송파구",1124060,0.464322487
"289","오류1동","구로구",1117067,0.463925827
"290","오류2동","구로구",1117068,0.463925827
"291","오륜동","송파구",1124059,0.464322487
"292","옥수동","성동구",1104073,0.221037581
"293","왕십리2동","성동구",1104052,0.221037581
"294","왕십리도선동","성동구",1104071,0.221037581
"295","용강동","마포구",1114059,0.314850839
"296","용답동","성동구",1104070,0.221037581
"297","용문동","용산구",1103059,0.416053686
"298","용산2가동","용산구",1103052,0.416053686
"299","용신동","동대문구",1106081,0.340924687
"300","우이동","강북구",1109074,0.361219665
"301","우장산동","강서구",1116074,0.29581589
"302","원효로1동","용산구",1103072,0.416053686
"303","원효로2동","용산구",1103057,0.416053686
"304","월계1동","노원구",1111051,0.486077647
"305","월계2동","노원구",1111052,0.486077647
"306","월계3동","노원구",1111053,0.486077647
"307","월곡1동","성북구",1108071,0.405292278
"308","월곡2동","성북구",1108072,0.405292278
"309","위례동","송파구",1124082,0.464322487
"310","은천동","관악구",1121078,0.591651669
"311","을지로동","중구",1102060,0.153731482
"312","응봉동","성동구",1104058,0.221037581
"313","응암1동","은평구",1112059,0.480012358
"314","응암2동","은평구",1112060,0.480012358
"315","응암3동","은평구",1112073,0.480012358
"316","이문1동","동대문구",1106089,0.340924687
"317","이문2동","동대문구",1106090,0.340924687
"318","이촌1동","용산구",1103063,0.416053686
"319","이촌2동","용산구",1103064,0.416053686
"320","이태원1동","용산구",1103065,0.416053686
"321","이태원2동","용산구",1103066,0.416053686
"322","이화동","종로구",1101064,0.295603883
"323","인수동","강북구",1109075,0.361219665
"324","인헌동","관악구",1121062,0.591651669
"325","일원1동","강남구",1123073,2.103431263
"326","일원2동","강남구",1123074,2.103431263
"327","일원본동","강남구",1123072,2.103431263
"328","자양1동","광진구",1105064,0.251689379
"329","자양2동","광진구",1105065,0.251689379
"330","자양3동","광진구",1105066,0.251689379
"331","자양4동","광진구",1105067,0.251689379
"332","잠실2동","송파구",1124079,0.464322487
"333","잠실3동","송파구",1124080,0.464322487
"334","잠실4동","송파구",1124075,0.464322487
"335","잠실6동","송파구",1124077,0.464322487
"336","잠실7동","송파구",1124078,0.464322487
"337","잠실본동","송파구",1124071,0.464322487
"338","잠원동","서초구",1122055,0.491841786
"339","장안1동","동대문구",1106087,0.340924687
"340","장안2동","동대문구",1106088,0.340924687
"341","장위1동","성북구",1108076,0.405292278
"342","장위2동","성북구",1108077,0.405292278
"343","장위3동","성북구",1108078,0.405292278
"344","장지동","송파구",1124081,0.464322487
"345","장충동","중구",1102058,0.153731482
"346","전농1동","동대문구",1106083,0.340924687
"347","전농2동","동대문구",1106084,0.340924687
"348","정릉1동","성북구",1108062,0.405292278
"349","정릉2동","성북구",1108063,0.405292278
"350","정릉3동","성북구",1108064,0.405292278
"351","정릉4동","성북구",1108065,0.405292278
"352","제기동","동대문구",1106082,0.340924687
"353","조원동","관악구",1121072,0.591651669
"354","종로1.2.3.4가동","종로구",1101061,0.295603883
"355","종로5.6가동","종로구",1101063,0.295603883
"356","종암동","성북구",1108084,0.405292278
"357","중계1동","노원구",1111061,0.486077647
"358","중계2.3동","노원구",1111078,0.486077647
"359","중계4동","노원구",1111064,0.486077647
"360","중계본동","노원구",1111060,0.486077647
"361","중곡1동","광진구",1105055,0.251689379
"362","중곡2동","광진구",1105056,0.251689379
"363","중곡3동","광진구",1105057,0.251689379
"364","중곡4동","광진구",1105058,0.251689379
"365","중림동","중구",1102068,0.153731482
"366","중앙동","관악구",1121061,0.591651669
"367","중화1동","중랑구",1107061,0.211373461
"368","중화2동","중랑구",1107062,0.211373461
"369","증산동","은평구",1112067,0.480012358
"370","진관동","은평구",1112071,0.480012358
"371","창1동","도봉구",1110059,0.240858753
"372","창2동","도봉구",1110060,0.240858753
"373","창3동","도봉구",1110061,0.240858753
"374","창4동","도봉구",1110062,0.240858753
"375","창5동","도봉구",1110063,0.240858753
"376","창신1동","종로구",1101067,0.295603883
"377","창신2동","종로구",1101068,0.295603883
"378","창신3동","종로구",1101069,0.295603883
"379","천연동","서대문구",1113052,0.335271061
"380","천호1동","강동구",1125061,0.802558907
"381","천호2동","강동구",1125073,0.802558907
"382","천호3동","강동구",1125063,0.802558907
"383","청구동","중구",1102072,0.153731482
"384","청담동","강남구",1123078,2.103431263
"385","청량리동","동대문구",1106080,0.340924687
"386","청룡동","관악구",1121080,0.591651669
"387","청림동","관악구",1121054,0.591651669
"388","청운효자동","종로구",1101072,0.295603883
"389","청파동","용산구",1103071,0.416053686
"390","충현동","서대문구",1113073,0.335271061
"391","평창동","종로구",1101056,0.295603883
"392","풍납1동","송파구",1124051,0.464322487
"393","풍납2동","송파구",1124052,0.464322487
"394","필동","중구",1102057,0.153731482
"395","하계1동","노원구",1111058,0.486077647
"396","하계2동","노원구",1111059,0.486077647
"397","한강로동","용산구",1103073,0.416053686
"398","한남동","용산구",1103074,0.416053686
"399","합정동","마포구",1114068,0.314850839
"400","행당1동","성동구",1104056,0.221037581
"401","행당2동","성동구",1104057,0.221037581
"402","행운동","관악구",1121057,0.591651669
"403","혜화동","종로구",1101073,0.295603883
"404","홍은1동","서대문구",1113066,0.335271061
"405","홍은2동","서대문구",1113068,0.335271061
"406","홍제1동","서대문구",1113062,0.335271061
"407","홍제2동","서대문구",1113065,0.335271061
"408","홍제3동","서대문구",1113064,0.335271061
"409","화곡1동","강서구",1116073,0.29581589
"410","화곡2동","강서구",1116057,0.29581589
"411","화곡3동","강서구",1116058,0.29581589
"412","화곡4동","강서구",1116059,0.29581589
"413","화곡6동","강서구",1116061,0.29581589
"414","화곡8동","강서구",1116063,0.29581589
"415","화곡본동","강서구",1116055,0.29581589
"416","화양동","광진구",1105053,0.251689379
"417","황학동","중구",1102067,0.153731482
"418","회기동","동대문구",1106071,0.340924687
"419","회현동","중구",1102054,0.153731482
"420","효창동","용산구",1103058,0.416053686
"421","후암동","용산구",1103051,0.416053686
"422","휘경1동","동대문구",1106072,0.340924687
"423","휘경2동","동대문구",1106073,0.340924687
"424","흑석동","동작구",1120071,0.268762902
